BookingID,CustomerID,TurfID,BookingDate,BookingTime,SlotStartTime,SlotEndTime,DurationHours,NumberOfPlayers,SportType,Amount,BookingStatus,BookingChannel,PromoCodeUsed
BKG000001,CUST01350,TURF033,2024-08-08,10:32:54,11:00,12:00,1,22,Badminton,1000,Confirmed,Website,FLAT100
BKG000002,CUST02448,TURF027,2024-04-09,21:36:03,16:00,17:00,1,9,Badminton,1800,Cancelled,Walk-in,NONE
BKG000003,CUST02152,TURF029,2024-05-23,18:29:13,09:00,10:00,1,8,Pickleball,2000,Confirmed,Website,NONE
BKG000004,CUST01737,TURF030,2025-08-13,06:12:44,20:00,21:00,1,5,Football,2500,Completed,Walk-in,FLAT100
BKG000005,CUST00298,TURF014,2024-07-11,04:14:04,20:00,21:00,1,13,Basketball,1500,Completed,Phone Call,NONE
BKG000006,CUST02168,TURF016,2025-12-01,14:51:27,12:00,13:00,1,4,Cricket,2000,Completed,Walk-in,NONE
BKG000007,CUST00899,TURF005,2024-11-13,09:53:37,09:00,10:00,1,13,Badminton,1200,Confirmed,Phone Call,NONE
BKG000008,CUST01022,TURF039,2024-12-03,06:35:02,14:00,15:00,1,16,Cricket,2500,Pending,Phone Call,NONE
BKG000009,CUST00591,TURF006,2026-02-23,14:11:59,06:00,07:00,1,20,Cricket,1500,Confirmed,Mobile App,NONE
BKG000010,CUST00004,TURF029,2024-08-10,14:19:58,16:00,17:00,1,10,Pickleball,2000,Confirmed,Website,NONE
BKG000011,CUST01089,TURF017,2025-09-11,17:07:10,17:00,18:00,1,13,Tennis,1200,Confirmed,Website,FLAT100
BKG000012,CUST00373,TURF048,2025-05-27,19:26:07,07:00,08:00,1,22,Tennis,1800,Completed,Phone Call,FIRST50
BKG000013,CUST00275,TURF018,2026-05-17,08:52:09,21:00,22:00,1,15,Pickleball,1200,Confirmed,Phone Call,NONE
BKG000014,CUST00045,TURF041,2024-04-13,04:50:39,10:00,11:00,1,11,Volleyball,2000,Completed,Mobile App,NONE
BKG000015,CUST00314,TURF039,2026-03-03,05:58:53,22:00,23:00,1,8,Cricket,2500,Confirmed,Website,NONE
BKG000016,CUST01467,TURF022,2024-01-25,19:47:04,17:00,18:00,1,6,Volleyball,1800,Pending,Phone Call,SUMMER20
BKG000017,CUST01507,TURF049,2025-09-18,23:08:49,14:00,15:00,1,17,Tennis,800,Completed,Mobile App,NONE
BKG000018,CUST00609,TURF007,2025-03-21,19:12:00,11:00,12:00,1,21,Pickleball,1500,Completed,Mobile App,NONE
BKG000019,CUST00391,TURF031,2024-09-02,00:37:11,06:00,07:00,1,6,Football,2000,Confirmed,Website,NONE
BKG000020,CUST01792,TURF009,2026-01-20,12:11:16,13:00,14:00,1,13,Badminton,1000,Completed,Website,NONE
BKG000021,CUST01358,TURF010,2026-02-05,02:03:53,14:00,15:00,1,9,Pickleball,2500,Confirmed,Phone Call,SUMMER20
BKG000022,CUST00075,TURF015,2024-09-10,01:11:25,20:00,21:00,1,15,Football,2500,Cancelled,Mobile App,NONE
BKG000023,CUST02296,TURF030,2024-06-24,08:42:53,12:00,13:00,1,22,Football,2500,No-Show,Walk-in,NONE
BKG000024,CUST02194,TURF046,2025-10-25,20:23:13,06:00,07:00,1,12,Football,800,Completed,Website,NONE
BKG000025,CUST00716,TURF045,2024-06-03,04:57:33,22:00,23:00,1,21,Hockey,2500,Confirmed,Website,WEEKEND10
BKG000026,CUST01166,TURF046,2024-05-09,12:45:44,22:00,23:00,1,8,Football,800,Confirmed,Walk-in,NONE
BKG000027,CUST02155,TURF026,2024-07-14,21:50:40,22:00,23:00,1,18,Basketball,1500,Completed,Phone Call,WEEKEND10
BKG000028,CUST01292,TURF025,2024-12-03,04:29:44,07:00,08:00,1,5,Pickleball,2500,Cancelled,Mobile App,NONE
BKG000029,CUST00952,TURF021,2025-03-15,17:07:54,10:00,11:00,1,9,Tennis,2500,Confirmed,Walk-in,NONE
BKG000030,CUST00927,TURF046,2025-07-01,08:33:42,17:00,18:00,1,14,Football,800,Confirmed,Phone Call,FLAT100
BKG000031,CUST01848,TURF006,2025-11-05,07:20:58,20:00,21:00,1,16,Cricket,1500,No-Show,Phone Call,NONE
BKG000032,CUST01901,TURF029,2024-01-15,09:46:13,08:00,09:00,1,14,Pickleball,2000,No-Show,Phone Call,NONE
BKG000033,CUST01083,TURF033,2026-02-24,16:25:14,22:00,23:00,1,10,Badminton,1000,Confirmed,Walk-in,WEEKEND10
BKG000034,CUST00675,TURF023,2025-02-26,08:51:24,21:00,22:00,1,5,Tennis,1500,Cancelled,Website,NONE
BKG000035,CUST00649,TURF013,2025-06-28,02:16:54,18:00,19:00,1,17,Badminton,1500,Pending,Website,FIRST50
BKG000036,CUST01752,TURF023,2026-03-09,07:45:00,22:00,23:00,1,19,Tennis,1500,Cancelled,Phone Call,NONE
BKG000037,CUST00990,TURF042,2025-01-29,05:53:54,12:00,13:00,1,15,Badminton,1500,Confirmed,Website,NONE
BKG000038,CUST01753,TURF028,2026-01-26,00:00:19,18:00,19:00,1,14,Volleyball,1500,Confirmed,Website,NONE
