CancellationID,BookingID,CustomerID,CancellationDate,Reason,CancelledBy,RefundPercentage,RefundAmount,RefundStatus
CNL00001,BKG000002,CUST02448,2024-04-07,Customer Request,Turf Owner,25,450,Pending
CNL00002,BKG000022,CUST00075,2024-09-08,Personal Emergency,Turf Owner,25,625,Processed
CNL00003,BKG000028,CUST01292,2024-12-01,Payment Failure,System,100,2500,Not Applicable
CNL00004,BKG000034,CUST00675,2025-02-24,Payment Failure,Turf Owner,75,1125,Pending
CNL00005,BKG000036,CUST01752,2026-03-08,Staff Unavailability,Customer,0,0,Processed
CNL00006,BKG000051,CUST01289,2025-03-05,Payment Failure,System,0,0,Not Applicable
CNL00007,BKG000061,CUST00904,2025-02-15,Power Outage,Customer,0,0,Pending
CNL00008,BKG000080,CUST01336,2024-09-09,Turf Maintenance,Turf Owner,50,750,Processed
CNL00009,BKG000082,CUST00602,2024-10-06,Staff Unavailability,Customer,100,800,Processed
CNL00010,BKG000087,CUST02269,2024-12-03,Payment Failure,Customer,25,375,Processed
CNL00011,BKG000093,CUST00299,2024-06-11,Staff Unavailability,System,25,450,Processed
CNL00012,BKG000102,CUST01385,2026-01-11,Customer Request,System,75,1875,Not Applicable
CNL00013,BKG000103,CUST00208,2024-02-15,Weather Conditions,System,0,0,Processed
CNL00014,BKG000119,CUST02312,2025-08-05,Personal Emergency,Turf Owner,75,1875,Processed
CNL00015,BKG000151,CUST00569,2024-08-08,Power Outage,Turf Owner,25,375,Pending
CNL00016,BKG000162,CUST01341,2024-08-16,Power Outage,System,0,0,Pending
CNL00017,BKG000176,CUST00110,2025-04-05,Personal Emergency,Turf Owner,0,0,Not Applicable
CNL00018,BKG000186,CUST01157,2026-01-31,Customer Request,Customer,25,250,Processed
CNL00019,BKG000192,CUST02281,2024-01-21,Weather Conditions,System,0,0,Processed
CNL00020,BKG000195,CUST01970,2025-02-26,Staff Unavailability,System,50,1250,Pending
CNL00021,BKG000204,CUST02440,2025-02-19,Staff Unavailability,System,50,900,Not Applicable
CNL00022,BKG000214,CUST01170,2024-02-08,Power Outage,System,75,750,Processed
CNL00023,BKG000234,CUST02206,2024-06-26,Turf Maintenance,System,50,1000,Processed
CNL00024,BKG000235,CUST01003,2024-04-03,Turf Maintenance,System,25,375,Processed
CNL00025,BKG000247,CUST02187,2024-04-01,Turf Maintenance,Customer,25,300,Processed
CNL00026,BKG000248,CUST01625,2026-01-27,Weather Conditions,System,100,1800,Pending
CNL00027,BKG000253,CUST01401,2026-03-07,Power Outage,System,75,600,Processed
CNL00028,BKG000259,CUST00793,2026-05-19,Customer Request,Customer,100,1000,Processed
CNL00029,BKG000263,CUST01981,2026-05-26,Customer Request,Turf Owner,100,2000,Pending
CNL00030,BKG000277,CUST01450,2026-03-28,Turf Maintenance,System,100,1000,Processed
CNL00031,BKG000280,CUST01222,2024-02-20,Customer Request,Customer,25,375,Processed
CNL00032,BKG000293,CUST00397,2025-11-10,Customer Request,Turf Owner,100,2500,Not Applicable
CNL00033,BKG000301,CUST00088,2026-03-03,Staff Unavailability,System,0,0,Processed
CNL00034,BKG000302,CUST00580,2026-04-08,Weather Conditions,System,0,0,Pending
CNL00035,BKG000306,CUST01785,2025-06-19,Power Outage,Turf Owner,100,2500,Processed
CNL00036,BKG000313,CUST00619,2026-06-15,Weather Conditions,Turf Owner,0,0,Pending
CNL00037,BKG000321,CUST01526,2026-04-22,Staff Unavailability,Turf Owner,100,1000,Processed
CNL00038,BKG000364,CUST01482,2024-07-03,Staff Unavailability,Customer,50,750,Pending
CNL00039,BKG000370,CUST01196,2026-01-01,Double Booking Error,System,0,0,Processed
CNL00040,BKG000375,CUST00414,2024-12-16,Payment Failure,Turf Owner,0,0,Processed
CNL00041,BKG000399,CUST01105,2026-03-23,Customer Request,Customer,100,1500,Processed
CNL00042,BKG000409,CUST01312,2025-04-19,Power Outage,System,75,1125,Processed
CNL00043,BKG000414,CUST01901,2025-03-02,Personal Emergency,Turf Owner,0,0,Processed
CNL00044,BKG000436,CUST02371,2025-12-26,Power Outage,Turf Owner,100,2500,Processed
CNL00045,BKG000454,CUST01110,2025-09-11,Staff Unavailability,Customer,75,1350,Not Applicable
CNL00046,BKG000459,CUST01316,2025-05-29,Power Outage,Customer,75,750,Processed
CNL00047,BKG000471,CUST01466,2024-08-06,Personal Emergency,Customer,100,1500,Pending
CNL00048,BKG000482,CUST01763,2025-06-13,Power Outage,Turf Owner,50,1250,Pending
CNL00049,BKG000485,CUST00200,2025-11-02,Power Outage,Customer,50,500,Processed
CNL00050,BKG000490,CUST02385,2026-04-23,Staff Unavailability,Turf Owner,0,0,Processed
CNL00051,BKG000504,CUST01964,2024-01-05,Staff Unavailability,Turf Owner,100,1500,Not Applicable
CNL00052,BKG000526,CUST01394,2024-09-25,Customer Request,Customer,0,0,Pending
CNL00053,BKG000535,CUST02072,2024-09-07,Turf Maintenance,System,75,1125,Processed
CNL00054,BKG000546,CUST02289,2026-05-29,Double Booking Error,Customer,25,300,Processed
CNL00055,BKG000554,CUST01838,2025-01-29,Personal Emergency,System,50,500,Processed
CNL00056,BKG000559,CUST01781,2024-12-24,Power Outage,Customer,0,0,Processed
CNL00057,BKG000561,CUST01110,2024-06-03,Personal Emergency,Turf Owner,25,200,Not Applicable
CNL00058,BKG000562,CUST02114,2025-05-03,Payment Failure,System,50,400,Pending
CNL00059,BKG000566,CUST00059,2026-05-28,Customer Request,System,50,1250,Not Applicable
CNL00060,BKG000572,CUST01783,2025-02-22,Weather Conditions,Turf Owner,50,1250,Processed
CNL00061,BKG000579,CUST01472,2026-03-12,Double Booking Error,Turf Owner,0,0,Pending
CNL00062,BKG000583,CUST01416,2024-03-16,Payment Failure,Turf Owner,25,375,Processed
CNL00063,BKG000585,CUST01647,2024-09-17,Customer Request,Customer,25,300,Pending
CNL00064,BKG000586,CUST01621,2024-01-10,Double Booking Error,Customer,25,375,Pending
CNL00065,BKG000594,CUST01561,2025-04-27,Customer Request,Customer,100,1800,Not Applicable
CNL00066,BKG000595,CUST00550,2025-06-25,Double Booking Error,Turf Owner,50,600,Not Applicable
CNL00067,BKG000605,CUST00314,2025-07-06,Staff Unavailability,Turf Owner,0,0,Pending
CNL00068,BKG000618,CUST00963,2024-05-07,Payment Failure,Customer,50,750,Processed
CNL00069,BKG000652,CUST01999,2024-02-27,Weather Conditions,Customer,100,2500,Processed
CNL00070,BKG000655,CUST00836,2026-05-29,Turf Maintenance,Turf Owner,0,0,Processed
CNL00071,BKG000659,CUST00602,2026-02-05,Turf Maintenance,Customer,75,600,Processed
CNL00072,BKG000663,CUST01078,2025-07-11,Power Outage,System,0,0,Not Applicable
CNL00073,BKG000668,CUST01621,2026-02-27,Staff Unavailability,Turf Owner,0,0,Pending
CNL00074,BKG000669,CUST01554,2024-06-07,Power Outage,Customer,50,500,Not Applicable
CNL00075,BKG000676,CUST00850,2024-06-21,Weather Conditions,Customer,100,1000,Processed
CNL00076,BKG000679,CUST00391,2026-03-17,Personal Emergency,Turf Owner,0,0,Pending
