MaintenanceID,TurfID,MaintenanceType,MaintenanceDate,PerformedByStaffID,Cost,DurationHours,Status,Notes
MNT00001,TURF016,Turf Mowing,2026-05-30,STF0093,2000,1,Completed,Urgent repair
MNT00002,TURF031,Equipment Servicing,2025-09-19,STF0109,12000,1,Completed,Pre-season prep
MNT00003,TURF041,Equipment Servicing,2025-01-25,STF0139,1500,8,In Progress,Urgent repair
MNT00004,TURF001,Floodlight Repair,2025-06-25,STF0134,8000,3,Completed,Customer complaint follow-up
MNT00005,TURF032,Net Replacement,2025-01-18,STF0109,500,3,Completed,Scheduled upkeep
MNT00006,TURF035,Cleaning,2026-02-11,STF0002,2000,2,Completed,Urgent repair
MNT00007,TURF028,Floodlight Repair,2026-01-26,STF0030,1500,6,Completed,Routine check
MNT00008,TURF034,Floodlight Repair,2024-01-08,STF0002,3000,8,Completed,Urgent repair
MNT00009,TURF017,Drainage Check,2024-11-21,STF0123,8000,2,Completed,Urgent repair
MNT00010,TURF002,Line Marking,2025-01-06,STF0083,1500,6,Completed,Urgent repair
MNT00011,TURF032,Pitch Rolling,2024-03-13,STF0026,1000,1,Completed,Urgent repair
MNT00012,TURF026,Equipment Servicing,2026-02-24,STF0051,1000,6,Completed,Customer complaint follow-up
MNT00013,TURF007,Painting,2025-12-12,STF0031,8000,4,Completed,Routine check
MNT00014,TURF001,Painting,2025-02-03,STF0122,3000,6,Scheduled,Urgent repair
MNT00015,TURF001,Line Marking,2025-06-28,STF0069,5000,3,In Progress,Scheduled upkeep
MNT00016,TURF006,Painting,2026-05-30,STF0106,500,4,Completed,Pre-season prep
MNT00017,TURF026,Painting,2025-10-16,STF0034,2000,3,Completed,Customer complaint follow-up
MNT00018,TURF044,Painting,2025-04-21,STF0093,8000,1,Completed,Urgent repair
MNT00019,TURF039,Floodlight Repair,2026-06-10,STF0002,2000,8,Completed,Urgent repair
MNT00020,TURF050,Fencing Repair,2025-07-20,STF0070,1500,8,Completed,Scheduled upkeep
MNT00021,TURF036,Net Replacement,2025-03-24,STF0112,1000,8,Completed,Urgent repair
MNT00022,TURF035,Line Marking,2025-12-31,STF0130,12000,2,Completed,Scheduled upkeep
MNT00023,TURF010,Line Marking,2024-07-01,STF0023,8000,4,Completed,Pre-season prep
MNT00024,TURF032,Floodlight Repair,2024-10-16,STF0047,2000,6,Completed,Pre-season prep
MNT00025,TURF012,Cleaning,2024-04-22,STF0106,3000,6,Completed,Scheduled upkeep
MNT00026,TURF050,Net Replacement,2024-02-08,STF0036,8000,3,Completed,Routine check
MNT00027,TURF002,Cleaning,2025-09-25,STF0009,8000,3,Completed,Routine check
