PaymentID,BookingID,CustomerID,PaymentDate,PaymentTime,BaseAmount,TaxAmount,TotalAmount,PaymentMethod,PaymentGateway,TransactionID,PaymentStatus,RefundAmount
PAY000001,BKG006066,CUST01077,2024-10-21,00:29:00,2500,450,2950,Wallet,Instamojo,TXN5922941156nc,Success,0
PAY000002,BKG009005,CUST01475,2025-12-16,00:25:00,2500,450,2950,Cash,Razorpay,TXN2955963637QU,Failed,0
PAY000003,BKG004637,CUST00568,2024-08-16,00:01:00,1500,270,1770,Wallet,Razorpay,TXN2629420661vQ,Pending,0
PAY000004,BKG002310,CUST00598,2024-06-05,00:04:00,1500,270,1770,Cash,Cashfree,TXN4980851331oP,Success,0
PAY000005,BKG000507,CUST02253,2026-05-13,00:29:00,2500,450,2950,UPI,Cashfree,TXN8004983211lj,Success,0
PAY000006,BKG003599,CUST00327,2024-10-22,00:20:00,1500,270,1770,Credit Card,Instamojo,TXN1215481582BI,Success,0
PAY000007,BKG001058,CUST01106,2024-08-21,00:13:00,2500,450,2950,Cash,PayU,TXN6876401918uq,Success,0
PAY000008,BKG003407,CUST02394,2025-10-11,00:17:00,1000,180,1180,UPI,CCAvenue,TXN8806442006lK,Success,0
PAY000009,BKG004370,CUST01490,2026-06-07,00:11:00,1500,270,1770,Net Banking,Paytm,TXN8778735856Oz,Failed,0
PAY000010,BKG000345,CUST00203,2024-12-05,00:01:00,800,144,944,Cash,Cashfree,TXN4641962342hN,Success,0
PAY000011,BKG002776,CUST01293,2025-10-24,00:05:00,2500,450,2950,UPI,CCAvenue,TXN2622132041cs,Success,0
PAY000012,BKG001562,CUST01394,2024-09-09,00:07:00,1800,324,2124,Credit Card,Cashfree,TXN2948314789XS,Failed,0
PAY000013,BKG005442,CUST01358,2024-11-21,00:10:00,1500,270,1770,Debit Card,Cashfree,TXN1179726999Nr,Success,0
PAY000014,BKG000023,CUST02296,2024-06-24,00:05:00,2500,450,2950,Net Banking,CCAvenue,TXN9812831800oB,Success,0
PAY000015,BKG004106,CUST02088,2026-01-24,00:16:00,1800,324,2124,Credit Card,Paytm,TXN6602000532Iv,Success,0
PAY000016,BKG002002,CUST01892,2024-08-24,00:18:00,1500,270,1770,Credit Card,Cashfree,TXN3863105052rp,Pending,0
PAY000017,BKG000630,CUST01163,2025-10-17,00:30:00,2000,360,2360,Net Banking,Cashfree,TXN8380582692QX,Refunded,2360
PAY000018,BKG006247,CUST00411,2024-12-05,00:26:00,1000,180,1180,UPI,Paytm,TXN9900768627WB,Success,0
PAY000019,BKG007029,CUST01723,2025-03-11,00:12:00,2500,450,2950,Wallet,PayU,TXN3328389633EA,Success,0
PAY000020,BKG008028,CUST00766,2024-06-27,00:28:00,2000,360,2360,Cash,Razorpay,TXN1851862671pB,Success,0
