SlotID,TurfID,SlotDate,StartTime,EndTime,DayOfWeek,Price,IsPeakHour,Status
SLOT000001,TURF045,2025-07-17,17:00,18:00,Thursday,2500,No,Booked
SLOT000002,TURF026,2024-12-12,21:00,22:00,Thursday,1500,Yes,Booked
SLOT000003,TURF034,2024-08-10,17:00,18:00,Saturday,1200,No,Booked
SLOT000004,TURF030,2026-01-28,17:00,18:00,Wednesday,2500,No,Booked
SLOT000005,TURF013,2026-05-22,19:00,20:00,Friday,1500,Yes,Available
SLOT000006,TURF029,2024-07-05,10:00,11:00,Friday,2000,No,Booked
SLOT000007,TURF021,2025-02-01,13:00,14:00,Saturday,2500,No,Available
SLOT000008,TURF002,2026-04-27,21:00,22:00,Monday,2500,Yes,Available
SLOT000009,TURF034,2024-12-07,20:00,21:00,Saturday,1200,Yes,Available
SLOT000010,TURF036,2026-02-28,09:00,10:00,Saturday,2500,No,Booked
SLOT000011,TURF047,2025-08-10,15:00,16:00,Sunday,1200,No,Booked
SLOT000012,TURF031,2024-04-15,13:00,14:00,Monday,2000,No,Booked
SLOT000013,TURF028,2025-12-06,07:00,08:00,Saturday,1500,No,Available
SLOT000014,TURF034,2025-01-15,12:00,13:00,Wednesday,1200,No,Booked
SLOT000015,TURF036,2024-09-24,12:00,13:00,Tuesday,2500,No,Blocked
SLOT000016,TURF028,2026-03-08,09:00,10:00,Sunday,1500,No,Booked
SLOT000017,TURF011,2024-07-22,18:00,19:00,Monday,2500,Yes,Booked
SLOT000018,TURF043,2025-02-27,18:00,19:00,Thursday,1500,Yes,Booked
SLOT000019,TURF024,2024-12-24,17:00,18:00,Tuesday,1000,No,Booked
SLOT000020,TURF016,2026-01-22,15:00,16:00,Thursday,2000,No,Booked
SLOT000021,TURF001,2024-11-22,20:00,21:00,Friday,1000,Yes,Booked
SLOT000022,TURF043,2024-05-13,06:00,07:00,Monday,1500,No,Booked
SLOT000023,TURF012,2024-12-02,22:00,23:00,Monday,1000,No,Booked
SLOT000024,TURF002,2025-10-05,16:00,17:00,Sunday,2500,No,Available
SLOT000025,TURF034,2025-04-03,12:00,13:00,Thursday,1200,No,Booked
SLOT000026,TURF033,2024-10-25,21:00,22:00,Friday,1000,Yes,Available
SLOT000027,TURF003,2025-06-23,10:00,11:00,Monday,1000,No,Booked
SLOT000028,TURF008,2024-01-17,08:00,09:00,Wednesday,1000,No,Booked
SLOT000029,TURF030,2026-01-22,13:00,14:00,Thursday,2500,No,Booked
SLOT000030,TURF025,2024-01-15,09:00,10:00,Monday,2500,No,Booked
SLOT000031,TURF044,2026-04-21,08:00,09:00,Tuesday,1000,No,Booked
SLOT000032,TURF024,2025-10-06,19:00,20:00,Monday,1000,Yes,Booked
SLOT000033,TURF042,2024-10-18,14:00,15:00,Friday,1500,No,Booked
SLOT000034,TURF042,2024-12-30,07:00,08:00,Monday,1500,No,Booked
SLOT000035,TURF020,2024-12-09,15:00,16:00,Monday,1500,No,Booked
SLOT000036,TURF042,2025-07-21,10:00,11:00,Monday,1500,No,Booked
SLOT000037,TURF031,2024-01-24,07:00,08:00,Wednesday,2000,No,Available
SLOT000038,TURF025,2024-11-13,15:00,16:00,Wednesday,2500,No,Available
SLOT000039,TURF022,2025-03-23,17:00,18:00,Sunday,1800,No,Available
SLOT000040,TURF042,2026-04-24,07:00,08:00,Friday,1500,No,Available
SLOT000041,TURF015,2026-03-18,18:00,19:00,Wednesday,2500,Yes,Booked
SLOT000042,TURF014,2025-02-17,21:00,22:00,Monday,1500,Yes,Booked
SLOT000043,TURF011,2024-11-07,16:00,17:00,Thursday,2500,No,Available
SLOT000044,TURF048,2024-04-09,07:00,08:00,Tuesday,1800,No,Booked
SLOT000045,TURF015,2024-08-29,08:00,09:00,Thursday,2500,No,Available
SLOT000046,TURF050,2024-10-30,11:00,12:00,Wednesday,1800,No,Booked
SLOT000047,TURF042,2025-10-13,19:00,20:00,Monday,1500,Yes,Booked
SLOT000048,TURF016,2025-11-18,07:00,08:00,Tuesday,2000,No,Available
SLOT000049,TURF047,2024-02-05,17:00,18:00,Monday,1200,No,Booked
SLOT000050,TURF046,2025-07-15,14:00,15:00,Tuesday,800,No,Available
SLOT000051,TURF047,2025-07-17,19:00,20:00,Thursday,1200,Yes,Booked
SLOT000052,TURF011,2026-05-12,09:00,10:00,Tuesday,2500,No,Booked
SLOT000053,TURF044,2025-08-12,09:00,10:00,Tuesday,1000,No,Available
SLOT000054,TURF004,2025-08-01,22:00,23:00,Friday,1000,No,Available
SLOT000055,TURF014,2024-03-16,06:00,07:00,Saturday,1500,No,Blocked
SLOT000056,TURF033,2024-04-28,19:00,20:00,Sunday,1000,Yes,Blocked
SLOT000057,TURF036,2024-04-15,06:00,07:00,Monday,2500,No,Booked
SLOT000058,TURF041,2025-07-12,18:00,19:00,Saturday,2000,Yes,Available
SLOT000059,TURF044,2024-07-03,09:00,10:00,Wednesday,1000,No,Booked
SLOT000060,TURF007,2025-01-25,16:00,17:00,Saturday,1500,No,Booked
SLOT000061,TURF027,2025-01-29,17:00,18:00,Wednesday,1800,No,Booked
SLOT000062,TURF008,2024-06-07,13:00,14:00,Friday,1000,No,Booked
SLOT000063,TURF009,2025-03-27,22:00,23:00,Thursday,1000,No,Booked
SLOT000064,TURF012,2026-02-27,17:00,18:00,Friday,1000,No,Available
SLOT000065,TURF048,2025-10-16,15:00,16:00,Thursday,1800,No,Booked
SLOT000066,TURF024,2024-02-08,07:00,08:00,Thursday,1000,No,Available
SLOT000067,TURF042,2025-06-01,20:00,21:00,Sunday,1500,Yes,Booked
SLOT000068,TURF015,2025-10-29,08:00,09:00,Wednesday,2500,No,Available
SLOT000069,TURF050,2025-05-22,19:00,20:00,Thursday,1800,Yes,Booked
SLOT000070,TURF018,2024-06-25,08:00,09:00,Tuesday,1200,No,Booked
SLOT000071,TURF050,2024-09-15,08:00,09:00,Sunday,1800,No,Available
SLOT000072,TURF022,2024-02-07,14:00,15:00,Wednesday,1800,No,Available
SLOT000073,TURF024,2024-07-08,14:00,15:00,Monday,1000,No,Booked
SLOT000074,TURF023,2025-11-29,10:00,11:00,Saturday,1500,No,Available
SLOT000075,TURF027,2026-01-26,15:00,16:00,Monday,1800,No,Available
SLOT000076,TURF024,2024-09-20,09:00,10:00,Friday,1000,No,Available
SLOT000077,TURF047,2026-04-17,07:00,08:00,Friday,1200,No,Booked
SLOT000078,TURF033,2025-05-11,10:00,11:00,Sunday,1000,No,Booked
SLOT000079,TURF013,2026-04-10,12:00,13:00,Friday,1500,No,Booked
SLOT000080,TURF039,2025-02-05,11:00,12:00,Wednesday,2500,No,Booked
SLOT000081,TURF012,2026-04-16,19:00,20:00,Thursday,1000,Yes,Booked
SLOT000082,TURF032,2024-10-15,15:00,16:00,Tuesday,800,No,Booked
SLOT000083,TURF049,2026-07-03,06:00,07:00,Friday,800,No,Available
SLOT000084,TURF028,2025-12-11,12:00,13:00,Thursday,1500,No,Booked
SLOT000085,TURF019,2024-06-07,17:00,18:00,Friday,1000,No,Booked
SLOT000086,TURF006,2025-07-24,10:00,11:00,Thursday,1500,No,Available
SLOT000087,TURF028,2026-01-07,08:00,09:00,Wednesday,1500,No,Booked
SLOT000088,TURF017,2024-05-05,17:00,18:00,Sunday,1200,No,Booked
SLOT000089,TURF001,2025-08-12,14:00,15:00,Tuesday,1000,No,Available
SLOT000090,TURF041,2025-01-05,21:00,22:00,Sunday,2000,Yes,Booked
SLOT000091,TURF024,2025-02-15,22:00,23:00,Saturday,1000,No,Available
SLOT000092,TURF033,2026-07-15,22:00,23:00,Wednesday,1000,No,Available
SLOT000093,TURF045,2024-01-14,11:00,12:00,Sunday,2500,No,Booked
SLOT000094,TURF010,2025-02-04,12:00,13:00,Tuesday,2500,No,Booked
SLOT000095,TURF045,2025-11-10,12:00,13:00,Monday,2500,No,Booked
SLOT000096,TURF007,2026-01-20,10:00,11:00,Tuesday,1500,No,Booked
SLOT000097,TURF011,2025-04-07,13:00,14:00,Monday,2500,No,Booked
